NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
45.2694359,0.0605671,32.0470886,22.8866291,339.230866069654212,4.954078024562556,
37.758728,0.0745701,16.0470028,20.3335762,0,176.961337875279952,
44.6892624,0.0590376,38.4567719,24.5082054,87.982365639487057,234.048637284690443,
38.109684,0.0695469,22.2671452,22.1504192,190.018081957496463,266.698548290802250,
44.1442146,0.068946,26.8930149,21.8826637,0,74.800643902772919,
,0.0845304,,,0,10468.895714227852295,
45.8321838,0.0693271,24.5392666,21.8144398,0,21.958625048388473,
38.1777992,0.0707038,19.62117,21.8155766,19.815419194063878,108.583701340121735,
37.2062607,0.0727218,15.5094662,20.2149582,0,241.182156081040205,
47.5903358,0.0678257,30.6444836,22.2702522,0,423.863053546221977,
44.0921326,0.0613566,41.3739357,23.8939381,130.605152814961286,457.889274137046812,
46.9932022,0.0692701,24.4510441,21.7658062,0,5.257030495675529,
44.0215187,0.0683543,29.8708153,21.9852257,53.469605837782879,88.470288630454291,
44.4771805,0.0687547,27.8153725,21.899107,0,2.166201590791137,
44.8659134,0.0595767,37.3041725,23.7951756,353.671247517865481,214.230987838935221,
81.091095,0.0770913,13.238265,24.8900051,0,61.504944488668052,
39.1440697,0.0703946,20.6231937,21.8396912,92.479464149489885,478.670528980361325,
46.6586227,0.0692519,24.6712303,21.7924633,322.839611995698533,113.508162291600712,
44.9892769,0.059,37.0133324,24.8038197,0,1101.188340231315351,
35.5155563,0.0744551,15.585659,20.4028568,53.999032169641545,1210.934704919787464,
45.5796127,0.0642789,33.9630432,22.9687939,871.538553077754841,391.843831384208215,
44.4332008,0.0596576,39.4411392,24.2175713,105.324523920934723,62.331001365212011,
56.9343567,0.0745497,14.8002148,21.9393139,583.870339336014922,129.814592866812490,
42.2239571,0.0654172,36.8376274,23.3204861,63.537254488883342,395.812965599368681,
44.9081001,0.0623811,34.4022675,22.9283218,0,46.673134553196142,
,0.0885477,,,0,189.620757918012345,
38.4051437,0.0706274,19.8452778,21.8216839,130.232595062978959,422.029188857410134,
47.2006493,0.0675234,31.7354488,22.3927898,17.773514016776051,1.117588865259757,
39.0382385,0.0699677,22.0484753,21.9052773,931.416664571512001,618.881257787690629,
47.2444496,0.0679093,30.7307491,22.1975384,0,8.914154924663515,
34.9292603,0.0725446,15.1486492,21.5187683,0,81.610185022349626,
33.9641609,0.0724385,15.3401585,20.3111992,0,291.754962951867697,
41.694313,0.0667021,31.1057606,23.1238308,0,170.008388663846659,
38.7225075,0.0706351,20.0276394,21.7993164,0,334.422001074178013,
42.5539398,0.0657222,35.6577911,23.1697121,49.898268660646075,41.885422876460055,
35.1498604,0.0743415,15.6030312,20.4581451,39.300104294281120,632.931785226139482,
36.6324234,0.0728854,15.5015574,20.2410717,324.609271731307786,69.949606011108983,
,0.0766064,,20.5,0,13.177165316809820,
34.4695892,0.0715455,15.3297653,20.122406,148.227471226953867,110.973050873643729,
44.7098618,0.0631202,35.3666649,22.9712906,230.504305993471547,73.661622310961150,
45.313282,0.061168,32.1723938,22.8819351,96.137851769644811,300.399651088343489,
44.8421898,0.059,37.7239037,24.6274071,0,310.049010459410681,
78.2999191,0.0775202,12.9231606,24.977705,331.510121246457345,742.241028422630734,
,0.0799508,13.3000002,21.6709824,0,562.411039012329752,
44.1561546,0.0604403,41.1119308,24.1431046,360.314509251895799,59.009924930721716,
47.554512,0.0686615,27.6879425,21.8860321,0,302.207750243087048,
